Year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttarakhand,Uttar Pradesh,West Bengal,Andaman and Nicobar,Chandigarh,Daman and Diu,New Delhi,Lakshadweep,Puducherry
2001,8374,60,776,2270,1340,227,4471,2568,763,945,517,5795,2707,4055,10422,88,138,67,65,1940,1509,5187,45,9571,175,9196,781,3959,17,118,45,1900,1,170
2002,9351,114,909,2144,1824,241,4715,248,838,888,454,6351,2873,4481,10262,120,125,50,38,2125,1608,5535,55,9939,157,9445,705,4139,21,108,50,1768,0,192
2003,10168,135,1137,2193,2035,231,4813,2913,777,855,454,6172,2934,4512,10244,124,118,76,65,2321,1557,6025,40,9275,168,7937,720,4127,12,134,53,1916,1,188
2004,10960,181,1012,2099,2250,319,4948,3253,934,969,614,6481,3154,4916,10605,119,128,67,63,2472,1855,6477,51,9507,179,10182,931,4265,15,147,78,1961,0,180
2005,10534,87,1544,1588,2258,242,5642,3379,812,884,1919,6904,3161,5327,10259,137,126,59,52,2549,2793,6793,77,9758,209,868,9955,4727,23,135,79,1862,0,226
2006,12761,129,1841,2396,2374,303,6161,4012,867,989,1914,7973,3627,5318,11343,159,165,64,68,2755,3052,7154,70,11009,196,975,10851,4600,22,142,72,2169,1,217
2007,13549,95,1604,3482,2607,322,6915,4415,979,958,2081,8777,3778,6671,11212,114,127,50,89,3000,3363,8145,52,12036,223,992,11398,4745,23,151,95,2141,0,255
2008,13812,134,1807,3940,2966,318,7070,4494,848,950,1979,8814,3901,6670,12397,151,123,63,70,3079,3206,8388,79,12784,221,1073,13165,4789,22,148,94,2093,0,212
2009,14770,158,1991,4390,2865,321,6983,4603,1140,1100,2170,8714,3830,7365,11396,125,145,60,55,3527,3668,9045,87,13746,229,852,14638,4860,33,171,78,2325,2,218
2010,15684,148,2256,5137,2956,327,7506,4719,1102,1045,2540,9590,3950,8085,12340,154,163,82,40,3837,3542,9163,71,15409,231,931,15175,5680,27,138,93,2153,0,239
2011,55583,438,6505,7083,13929,2318,29744,9727,5462,10012,4811,59591,41379,55545,45628,1118,591,215,107,11248,4081,28666,321,74245,1030,1712,15513,14962,298,370,247,7226,0,1689
2012,14964,138,2291,5056,3167,292,7817,4446,1109,1165,2818,9448,4286,8175,13333,158,219,77,56,3701,4820,9528,55,16175,272,844,16149,5397,25,136,82,1866,0,193
2013,14171,143,2441,5061,3477,266,7613,4517,1054,990,2706,10046,4258,8588,13029,165,130,97,30,4062,4588,9724,68,15563,226,766,16004,5504,40,117,80,1820,0,228
2014,14814,119,2522,4913,4022,290,7955,4483,1199,992,2628,10452,4049,8569,12803,168,141,103,81,3931,4621,10289,59,15190,188,878,16287,5875,23,131,74,1671,0,151
2015,15407,127,2397,5421,4082,311,8119,4879,1096,917,2893,10856,4196,9314,13212,139,183,72,30,4303,4893,10510,70,15642,158,913,17666,6234,23,129,84,1622,0,235
2016,15760,149,2572,4901,3908,336,8136,5024,1271,958,3027,11133,4287,9646,12935,81,150,70,46,4463,5077,10465,85,17218,173,962,19320,6544,17,151,84,1591,1,244
2017,14656,110,2783,5554,4136,328,7289,5120,1203,926,3256,10609,4131,10177,12264,136,182,60,41,4790,4463,10444,78,16157,161,942,20124,5769,21,107,79,1584,0,233
2018,14159,175,2966,6729,4592,262,7996,5118,1208,984,3542,10990,4303,10706,13261,134,182,45,39,5315,4740,10320,85,12216,213,1047,22256,5711,19,98,89,1690,1,226
2019,14948,127,3208,7205,5003,297,7390,5057,1146,996,3801,10958,4440,11249,12788,156,179,48,26,5333,4525,10563,73,10525,239,867,22655,5500,20,104,77,1463,0,147
2020,13921,73,2629,6699,4606,223,6170,4507,893,3044,9760,2979,728,11141,11569,127,144,42,53,4738,3898,9250,47,14527,192,674,19149,5128,14,53,64,1196,0,145
2021,15743,157,3036,7660,5371,226,7452,4706,1052,3513,10038,3429,830,12057,13528,110,187,56,55,5081,4589,10043,56,15384,194,820,21227,5800,20,96,76,1239,1,140
2022,15852,148,2994,8898,5834,271,7618,4915,1032,3898,11702,4317,867,13427,15224,127,162,113,73,5467,4756,11104,92,17884,241,1042,22595,6002,19,83,90,1461,2,181
