Year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttarakhand,Uttar Pradesh,West Bengal,Andaman and Nicobar,Chandigarh,Daman and Diu,New Delhi,Lakshadweep,Puducherry
2001,52.37136926173008,19.119971447509304,20.34641460136794,11.450302009256525,41.133637283874414,252.79857661798502,110.20372668843335,92.44020318821471,35.70574712794982,32.76962950458278,33.73404730263077,67.07122288797042,66.33374163761425,51.25437421721157,69.86899563318778,33.55880199435166,26.880088791002976,34.84359720801628,80.3909007549208,29.85733316261622,119.80667895474231,52.1131224844307,22.144225339637057,83.10875026303549,15.664749301352181,42.87851480133347,29.635009418645545,21.066724174252972,70.09673349221926,428.3748390819905,131.91115519875055,262.42639517170085,65.25285481239804,258.5092632485997
2002,54.771418212405045,18.637570519907452,21.999384371590097,12.050974397775503,44.49639528975428,269.16073256726463,116.48864417587376,98.4649394818102,39.640257514809946,35.27759874611784,35.71652007092023,67.86803567420206,72.35761620655823,51.504441405886205,75.41101709920706,38.507490733814144,28.242792070621142,37.36993065899455,88.97567731728984,32.633353890824296,125.98129502161628,55.418736204860316,23.701841049619624,89.64709636223745,17.59370468849389,46.92629746473628,30.52423270577772,20.7785326174692,77.99890467252438,421.19478338257824,135.096222284322,261.56729567885316,81.15183670952024,269.5190701711865
2003,59.168888151650165,18.178912703649267,23.8521087355266,12.875459482192436,49.412961162992275,289.64051453579526,123.83338787736132,103.50746231576706,43.1555588482837,37.76254480256209,39.10567307597638,68.69539267609639,79.3810384218099,55.05543464705829,81.44050214030926,40.757412218618384,29.942165681569417,39.7868799644886,81.47498285504837,35.99447773199384,132.4675625061889,59.1991805135706,27.024144451618856,124.8500715184256,20.074760842682494,51.845622477829586,34.31366227741325,28.697367354460972,77.49603663126943,603.1329429496335,178.40695435065578,275.1553103097099,80.74179098211084,284.8119968645407
2004,64.3113522134711,17.74228719541668,25.96632444170188,8.423312291802022,54.66094753727663,315.58827282664095,132.38531376395332,113.32173339218295,45.791827689377016,40.59594552109186,42.31764499196994,71.97707844419632,86.42998712425364,59.39218330014056,88.41798212723701,43.75350956806701,29.155915090147094,44.20646862730074,86.54640640954635,39.838308817656625,139.41088523194222,63.77498657065789,30.268617959831047,131.6806621430108,22.784331670796625,57.47769431036324,36.681210556558725,30.49333958205848,76.99961115196368,618.6904919518503,188.18331231197257,287.80012876763277,80.3358681977612,296.482036977467
2005,69.18276980085754,18.15119816059058,28.645873900342895,14.816471155366283,60.52790084432856,346.1576358783628,143.40022031791915,124.34877882266576,47.11166814528437,43.211967610478716,46.21478816278596,96.91001594109149,96.18444501704622,64.1641622011188,96.46537431699196,46.240141115175916,35.80425781120477,48.442641232974474,86.58855104027586,44.1968354179327,151.08064524251648,69.47390051593102,35.19785771758787,139.99790679158656,21.575031694608207,62.690363171728876,40.92168499531329,31.66340675694313,101.1018461743608,641.0240426612409,197.0842788686236,278.9065674190047,79.93400648424661,320.50168951495806
2006,73.84024058332972,17.73522041452853,31.621990859653163,15.34138820493652,66.45861368539407,376.96548485493065,155.3781883840333,131.81891463072736,51.64697406718838,46.33226618806497,50.22173982656047,109.25152256136155,109.1271290732778,69.31731059212196,104.87483801112472,49.439460184887636,39.46459447188309,52.50658351777954,92.67474162508685,49.12576855319704,155.2121091756206,76.00665328412374,38.27451526196296,149.77987245142933,30.890677310156388,69.11803877618719,43.699308422752885,33.47923456304785,111.32319839694594,661.6333446843845,207.29534507937856,293.22257226969236,95.44337424142401,346.0575573022651
2007,62.326116180520515,17.337881742721912,34.77875425649714,16.52438060764077,73.29466395909809,409.4205475939719,168.18060258445826,147.70523959133777,52.254534096893295,49.31872839082611,55.149749495183535,94.95881086283377,120.757296748212,74.5356383212424,114.68574665601767,52.13957285380189,43.316965937537226,60.36708730980904,105.82164155367938,53.900002968013204,163.0332005760638,83.68630363481233,43.00160860417466,161.1820566257386,34.4889904244767,67.92953482361648,48.80477026311404,36.80212265989595,129.5104720009152,682.6119997148736,224.61832774239102,352.2196656296367,110.79911487335661,380.07880300515643
2008,67.64210403223281,16.957956831362598,37.43701323160914,17.830920505942064,80.19563191841189,437.87135297546564,179.10203666362298,163.1466286135197,56.01866837978096,52.51861399447244,59.341441893366905,106.070449894273,134.55608712162203,80.12032119646346,123.83129813058366,56.6785622245017,46.26338416872054,64.03932091927862,113.93978101076586,58.698933531522066,171.4036994458132,90.83256221587276,44.22128193414363,172.5716959308821,37.13903129612611,75.9207882999813,51.8459189372785,31.382866871747147,142.10799242162207,705.9260709007558,240.57384882072034,371.410042391114,110.25306227880479,415.96093679903277
2009,72.62618707633447,16.594325464807056,40.80872301885842,19.674826118203182,85.97888534192448,469.3729289093612,188.25412559113062,178.28906703881657,73.72366501888804,55.42096336767242,64.12894522183537,116.9523550470174,146.9257083397233,85.68161930420709,132.27595850376042,55.75994969921491,50.13215117484343,66.6191323295797,121.05703370116849,63.74166289856535,178.82245619837934,98.0488881606581,48.77796070447485,183.8067431349486,40.27744896959097,80.37812156146073,55.88567524808916,34.15525539284778,159.8784071420882,729.5172646559726,244.2967724539041,389.6644660002172,109.71236552398626,451.89760033974636
2010,77.34238326761896,16.24596149396976,45.057649830489474,23.173237559269953,97.16936621328755,502.47411480752515,199.86538099499433,189.51076203024857,79.36738119241494,60.07610691608987,85.44361987765807,150.0054762613995,162.42984308882967,92.34155292474986,142.29643898793634,72.41431259183366,54.51546225851419,74.70480396712391,128.18123494343598,70.78122839914187,192.74395817311387,106.31063110702355,56.5620833745072,197.6771287022282,44.16087276016054,83.48413723032061,61.091984269804726,30.44270169107734,164.18856686155675,913.0922808198471,249.51693697963108,409.8265609377716,124.77365279547571,491.99194808770363
