Year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttarakhand,Uttar Pradesh,West Bengal,Andaman and Nicobar,Chandigarh,Daman and Diu,New Delhi,Lakshadweep,Puducherry
2001,75728400,1098328,26638600,82879910,20834530,1348900,50597200,21083900,6077453,10070300,26946070,52734986,31839000,60385090,96752500,2294480,2306540,889690,1990275,36707900,24289130,56473300,541902,62111390,3191880,8489100,166053600,80221300,356650,901080,379043,13851503,61300,974820
2002,80133035.5,1126756.3,27091667.2,84972382,21305096.6,1359782.3,51575842.8,21550818.1,6155358.6,10318162.6,27550276.4,53574557.8,31993867.7,61606337.5,98314547.2,2337207.6,2372286.7,909822.4,1989307.7,37231845.8,24630640.6,57688071.2,548480.6,63114146.8,3239795.2,8651865.2,169406387.7,81333943.6,358979.4,916440.6,399715.1,14141676.2,61612.9,1001784.4
2003,84537671,1155184.6,27544734.4,87064854,21775663.2,1370664.6,52554485.6,22017736.2,6233264.2,10566025.2,28154482.8,54414129.6,32148735.4,62827585,99876594.4,2379935.2,2438033.4,929954.8,1988340.4,37755791.6,24972151.2,58902842.4,555059.2,64116903.6,3287710.4,8814630.4,172759175.4,82446587.2,361308.8,931801.2,420387.2,14431849.4,61925.8,1028748.8
2004,88942306.5,1183612.9,27997801.6,89157326,22246229.8,1381546.9,53533128.4,22484654.3,6311169.8,10813887.8,28758689.2,55253701.4,32303603.1,64048832.5,101438641.6,2422662.8,2503780.1,950087.2,1987373.1,38279737.4,25313661.8,60117613.6,561637.8,65119660.4,3335625.6,8977395.6,176111963.1,83559230.8,363638.2,947161.8,441059.3,14722022.6,62238.7,1055713.2
2005,93346942,1212041.2,28450868.8,91249798,22716796.4,1392429.2,54511771.2,22951572.4,6389075.4,11061750.4,29362895.6,56093273.2,32458470.8,65270080,103000688.8,2465390.4,2569526.8,970219.6,1986405.8,38803683.2,25655172.4,61332384.8,568216.4,66122417.2,3383540.8,9140160.8,179464750.8,84671874.4,365967.6,962522.4,461731.4,15012195.8,62551.6,1082677.6
2006,97751577.5,1240469.5,28903936,93342270,23187363,1403311.5,55490414,23418490.5,6466981,11309613,29967102,56932845,32613338.5,66491327.5,104562736,2508118,2635273.5,990352,1985438.5,39327629,25996683,62547156,574795,67125174,3431456,9302926,182817538.5,85784518,368297,977883,482403.5,15302369,62864.5,1109642
2007,102156213,1268897.8,29357003.2,95434742,23657929.6,1414193.8,56469056.8,23885408.6,6544886.6,11557475.6,30571308.4,57772416.8,32768206.2,67712575,106124783.2,2550845.6,2701020.2,1010484.4,1984471.2,39851574.8,26338193.6,63761927.2,581373.6,68127930.8,3479371.2,9465691.2,186170326.2,86897161.6,370626.4,993243.6,503075.6,15592542.2,63177.4,1136606.4
2008,106560848.5,1297326.1,29810070.4,97527214,24128496.2,1425076.1,57447699.6,24352326.7,6622792.2,11805338.2,31175514.8,58611988.6,32923073.9,68933822.5,107686830.4,2593573.2,2766766.9,1030616.8,1983503.9,40375520.6,26679704.2,64976698.4,587952.2,69130687.6,3527286.4,9628456.4,189523113.9,88009805.2,372955.8,1008604.2,523747.7,15882715.4,63490.3,1163570.8
2009,110965484,1325754.4,30263137.6,99619686,24599062.8,1435958.4,58426342.4,24819244.8,6700697.8,12053200.8,31779721.2,59451560.4,33077941.6,70155070,109248877.6,2636300.8,2832513.6,1050749.2,1982536.6,40899466.4,27021214.8,66191469.6,594530.8,70133444.4,3575201.6,9791221.6,192875901.6,89122448.8,375285.2,1023964.8,544419.8,16172888.6,63803.2,1190535.2
2010,115370119.5,1354182.7,30716204.8,101712158,25069629.4,1446840.7,59404985.2,25286162.9,6778603.4,12301063.4,32383927.6,60291132.2,33232809.3,71376317.5,110810924.8,2679028.4,2898260.3,1070881.6,1981569.3,41423412.2,27362725.4,67406240.8,601109.4,71136201.2,3623116.8,9953986.8,196228689.3,90235092.4,377614.6,1039325.4,565091.9,16463061.8,64116.1,1217499.6
