Year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttarakhand,Uttar Pradesh,West Bengal,Andaman and Nicobar,Chandigarh,Daman and Diu,New Delhi,Lakshadweep,Puducherry
2001,3966,21,542,949,857,341,5576,1949,217,330,909,3537,2112,3095,6760,77,62,31,160,1096,2910,2943,12,5162,50,364,4921,1690,25,386,50,3635,4,252
2002,4389,21,596,1024,948,366,6008,2122,244,364,984,3636,2315,3173,7414,90,67,34,177,1215,3103,3197,13,5658,57,406,5171,1690,28,386,54,3699,5,270
2003,5002,21,657,1121,1076,397,6508,2279,269,399,1101,3738,2552,3459,8134,97,73,37,162,1359,3308,3487,15,8005,66,457,5928,2366,28,562,75,3971,5,293
2004,5720,21,727,751,1216,436,7087,2548,289,439,1217,3977,2792,3804,8969,106,73,42,172,1525,3529,3834,17,8575,76,516,6460,2548,28,586,83,4237,5,313
2005,6458,22,815,1352,1375,482,7817,2854,301,478,1357,5436,3122,4188,9936,114,92,47,172,1715,3876,4261,20,9257,73,573,7344,2681,37,617,91,4187,5,347
2006,7218,22,914,1432,1541,529,8622,3087,334,524,1505,6220,3559,4609,10966,124,104,52,184,1932,4035,4754,22,10054,106,643,7989,2872,41,647,100,4487,6,384
2007,6367,22,1021,1577,1734,579,9497,3528,342,570,1686,5486,3957,5047,12171,133,117,61,210,2148,4294,5336,25,10981,120,643,9086,3198,48,678,113,5492,7,432
2008,7208,22,1116,1739,1935,624,10289,3973,371,620,1850,6217,4430,5523,13335,147,128,66,226,2370,4573,5902,26,11930,131,731,9826,2762,53,712,126,5899,7,484
2009,8059,22,1235,1960,2115,674,10999,4425,494,668,2038,6953,4860,6011,14451,147,142,70,240,2607,4832,6490,29,12891,144,787,10779,3044,60,747,133,6302,7,538
2010,8923,22,1384,2357,2436,727,11873,4792,538,739,2767,9044,5398,6591,15768,194,158,80,254,2932,5274,7166,34,14062,160,831,11988,2747,62,949,141,6747,8,599
2011,10189,145,1582,2673,2766,790,12993,5377,622,927,3113,9930,6072,7356,17434,207,176,93,273,3338,5274,7986,39,15638,188,997,13287,3261,69,1008,154,7228,9,673
2012,12424,151,1807,3113,3104,866,14414,5978,737,917,3158,10910,6893,8144,19432,215,198,102,291,3759,6263,8985,43,17412,204,1244,15445,3861,77,1058,170,7350,10,755
2013,12662,151,1878,3617,3437,938,15772,6600,876,1021,3417,12064,7858,8760,21488,296,220,121,311,4216,6263,10072,36,19232,245,1460,17048,6111,85,1106,185,7785,11,700
2014,14075,151,2217,4163,3871,1009,17092,7239,974,1133,1719,13335,8775,9722,23394,395,248,137,318,4702,6263,11133,40,20864,256,1640,19115,6745,94,631,198,8293,13,751
2015,15727,151,2510,4778,4314,1084,18721,7928,1077,1244,2066,14785,9648,11141,25562,307,267,151,334,5219,6263,12379,43,22519,282,1827,21636,7403,102,676,212,8851,14,803
2016,17437,265,2817,5482,4810,1158,20361,8633,1176,1366,2477,16292,10172,11141,27870,306,558,171,380,5833,9064,13632,49,24203,319,1888,23936,6488,111,837,211,9705,16,863
2017,19470,180,3029,6246,5242,1239,22037,9370,1356,1511,3385,17871,11303,13199,30217,340,583,187,410,6558,9843,14901,54,26109,383,2137,26265,7446,122,883,227,10260,18,930
2018,21761,210,3442,7364,5793,1325,23821,7733,1495,1674,3385,19382,12341,14570,32853,308,333,208,449,7424,9681,16280,54,28042,435,2480,29395,7446,131,951,248,10686,18,998
2019,24121,230,3937,8553,6375,1402,25201,8600,1635,1854,3385,21071,13335,15296,35392,362,366,234,490,8281,10559,17710,54,30175,496,2753,32712,7446,141,1011,266,11392,18,1063
2020,26014,230,4359,9904,6986,1458,26837,8600,1712,1968,5065,26118,14184,17923,37786,362,366,267,520,9116,11336,19236,54,32095,551,2899,34925,10916,150,1059,279,11893,23,1119
2021,26962,254,4817,10914,7442,1509,28093,9232,1827,2129,5536,27297,14950,19074,39709,398,392,292,542,9653,11854,20299,64,33610,597,3095,37721,11871,156,1098,296,12352,24,1164
2022,27812,280,5333,12044,7943,1580,29662,9973,1946,2298,6027,28829,15734,20440,42083,453,428,319,568,10287,12410,21587,75,35311,650,3326,40735,12844,163,1149,315,12960,24,1214
